,conta,duração,historico,motivo,quantia,poupança,emprego,pagador
48,sem conta,11,já atrasou pagamentos,carro novo,7228,ate 1000,1-4 anos,bom
49,sem conta,12,pagamento em dia,radio/televisão,2073,nao,1-4 anos,bom
50,positivo,24,já atrasou pagamentos,móveis,2333,nao,1-4 anos,bom
51,positivo,27,já atrasou pagamentos,carro usado,5965,ate 1000,> 7 anos,bom
52,sem conta,12,pagamento em dia,radio/televisão,1262,ate 1000,1-4 anos,bom
53,sem conta,18,pagamento em dia,carro usado,3378,nao,1-4 anos,bom
54,positivo,36,já atrasou pagamentos,carro novo,2225,ate 1000,> 7 anos,mau
55,sem conta,6,pagamento em dia,carro novo,783,nao,1-4 anos,bom
56,positivo,12,pagamento em dia,radio/televisão,6468,nao,desempregado,mau
57,sem conta,36,já atrasou pagamentos,radio/televisão,9566,ate 1000,1-4 anos,bom
58,positivo,18,pagamento em dia,carro novo,1961,ate 1000,> 7 anos,bom
59,negativo,36,já atrasou pagamentos,móveis,6229,ate 1000,1-4 anos,mau
60,positivo,9,pagamento em dia,negócios,1391,ate 1000,1-4 anos,bom
61,positivo,15,já atrasou pagamentos,radio/televisão,1537,nao,> 7 anos,bom
62,positivo,36,pagamento em dia,negócios,1953,ate 1000,> 7 anos,mau
63,positivo,48,pagamento em dia,negócios,14421,ate 1000,1-4 anos,mau
64,sem conta,24,pagamento em dia,radio/televisão,3181,ate 1000,1-4 anos,bom
65,sem conta,27,pagamento em dia,reparos,5190,nao,> 7 anos,bom
66,sem conta,12,pagamento em dia,radio/televisão,2171,ate 1000,1-4 anos,bom
67,positivo,12,pagamento em dia,carro novo,1007,>1000,1-4 anos,bom
68,sem conta,36,pagamento em dia,educação,1819,ate 1000,1-4 anos,mau
69,sem conta,36,pagamento em dia,radio/televisão,2394,nao,1-4 anos,bom
70,sem conta,36,pagamento em dia,carro usado,8133,ate 1000,1-4 anos,bom
71,sem conta,7,já atrasou pagamentos,radio/televisão,730,nao,> 7 anos,bom
72,negativo,8,já atrasou pagamentos,outros,1164,ate 1000,> 7 anos,bom
73,positivo,42,já atrasou pagamentos,negócios,5954,ate 1000,4-7 anos,bom
74,negativo,36,pagamento em dia,educação,1977,nao,> 7 anos,mau
75,negativo,12,já atrasou pagamentos,carro usado,1526,ate 1000,> 7 anos,bom
76,negativo,42,pagamento em dia,radio/televisão,3965,ate 1000,1-4 anos,mau
77,positivo,11,já atrasou pagamentos,radio/televisão,4771,ate 1000,4-7 anos,bom
78,sem conta,54,pagamento em dia,carro usado,9436,nao,1-4 anos,bom
79,positivo,30,pagamento em dia,móveis,3832,ate 1000,1-4 anos,bom
80,sem conta,24,pagamento em dia,radio/televisão,5943,nao,1-4 anos,mau
81,sem conta,15,pagamento em dia,radio/televisão,1213,ate 1000,> 7 anos,bom
82,sem conta,18,pagamento em dia,negócios,1568,nao,1-4 anos,bom
83,negativo,24,pagamento em dia,outros,1755,ate 1000,> 7 anos,bom
84,negativo,10,pagamento em dia,radio/televisão,2315,ate 1000,> 7 anos,bom
85,sem conta,12,já atrasou pagamentos,negócios,1412,ate 1000,1-4 anos,bom
86,positivo,18,já atrasou pagamentos,móveis,1295,ate 1000,1-4 anos,bom
87,positivo,36,pagamento em dia,educação,12612,nao,1-4 anos,mau
88,negativo,18,pagamento em dia,carro novo,2249,nao,4-7 anos,bom
89,negativo,12,pagamento em dia,reparos,1108,ate 1000,4-7 anos,mau
90,sem conta,12,já atrasou pagamentos,radio/televisão,618,ate 1000,> 7 anos,bom
91,negativo,12,já atrasou pagamentos,carro usado,1409,ate 1000,> 7 anos,bom
92,sem conta,12,já atrasou pagamentos,radio/televisão,797,nao,> 7 anos,mau
93,positivo,24,já atrasou pagamentos,móveis,3617,nao,> 7 anos,bom
94,positivo,12,pagamento em dia,carro novo,1318,>1000,> 7 anos,bom
95,positivo,54,pagamento em dia,negócios,15945,ate 1000,1-4 anos,mau
96,sem conta,12,já atrasou pagamentos,educação,2012,nao,4-7 anos,bom
97,positivo,18,pagamento em dia,negócios,2622,nao,1-4 anos,bom
98,positivo,36,já atrasou pagamentos,radio/televisão,2337,ate 1000,> 7 anos,bom
99,positivo,20,já atrasou pagamentos,carro usado,7057,nao,4-7 anos,bom
100,sem conta,24,pagamento em dia,carro novo,1469,nao,> 7 anos,bom
101,positivo,36,pagamento em dia,radio/televisão,2323,ate 1000,4-7 anos,bom
102,sem conta,6,já atrasou pagamentos,radio/televisão,932,ate 1000,1-4 anos,bom
103,positivo,9,já atrasou pagamentos,móveis,1919,ate 1000,4-7 anos,bom
104,sem conta,12,pagamento em dia,carro usado,2445,nao,1-4 anos,bom
105,positivo,24,já atrasou pagamentos,outros,11938,ate 1000,1-4 anos,mau
106,sem conta,18,pagamento em dia,carro novo,6458,ate 1000,> 7 anos,mau
107,positivo,12,pagamento em dia,carro novo,6078,ate 1000,4-7 anos,bom
108,negativo,24,pagamento em dia,móveis,7721,nao,1-4 anos,bom
109,positivo,14,pagamento em dia,negócios,1410,ate 1000,> 7 anos,bom
110,positivo,6,já atrasou pagamentos,negócios,1449,nao,> 7 anos,bom
111,positivo,15,pagamento em dia,educação,392,ate 1000,1-4 anos,bom
112,positivo,18,pagamento em dia,carro novo,6260,ate 1000,4-7 anos,bom
113,sem conta,36,já atrasou pagamentos,carro novo,7855,ate 1000,1-4 anos,mau
114,negativo,12,pagamento em dia,radio/televisão,1680,ate 1000,> 7 anos,bom
115,sem conta,48,já atrasou pagamentos,radio/televisão,3578,nao,> 7 anos,bom
116,negativo,42,pagamento em dia,radio/televisão,7174,nao,4-7 anos,mau
117,negativo,10,já atrasou pagamentos,móveis,2132,nao,1-4 anos,bom
118,negativo,33,já atrasou pagamentos,móveis,4281,ate 1000,1-4 anos,mau
119,positivo,12,já atrasou pagamentos,carro novo,2366,ate 1000,4-7 anos,bom
120,negativo,21,pagamento em dia,radio/televisão,1835,ate 1000,1-4 anos,mau
121,sem conta,24,já atrasou pagamentos,carro usado,3868,ate 1000,> 7 anos,bom
122,sem conta,12,pagamento em dia,móveis,1768,ate 1000,1-4 anos,bom
123,positivo,10,já atrasou pagamentos,carro novo,781,ate 1000,> 7 anos,bom
124,positivo,18,pagamento em dia,móveis,1924,nao,1-4 anos,mau
125,negativo,12,já atrasou pagamentos,carro novo,2121,ate 1000,1-4 anos,bom
126,negativo,12,pagamento em dia,radio/televisão,701,ate 1000,1-4 anos,bom
127,positivo,12,pagamento em dia,reparos,639,ate 1000,1-4 anos,mau
128,positivo,12,já atrasou pagamentos,carro usado,1860,ate 1000,desempregado,bom
129,negativo,12,já atrasou pagamentos,carro novo,3499,ate 1000,1-4 anos,mau
130,positivo,48,pagamento em dia,carro novo,8487,nao,4-7 anos,bom
131,negativo,36,já atrasou pagamentos,educação,6887,ate 1000,1-4 anos,mau
132,sem conta,15,pagamento em dia,móveis,2708,ate 1000,1-4 anos,bom
133,sem conta,18,pagamento em dia,móveis,1984,ate 1000,1-4 anos,bom
134,sem conta,60,pagamento em dia,radio/televisão,10144,nao,4-7 anos,bom
135,sem conta,12,já atrasou pagamentos,radio/televisão,1240,nao,> 7 anos,bom
136,sem conta,27,já atrasou pagamentos,carro usado,8613,>1000,1-4 anos,bom
137,positivo,12,pagamento em dia,radio/televisão,766,ate 1000,1-4 anos,mau
138,positivo,15,já atrasou pagamentos,radio/televisão,2728,nao,4-7 anos,bom
139,positivo,12,pagamento em dia,radio/televisão,1881,ate 1000,1-4 anos,bom
140,positivo,6,pagamento em dia,carro novo,709,>1000,1-4 anos,bom
141,positivo,36,pagamento em dia,radio/televisão,4795,ate 1000,1-4 anos,bom
142,negativo,27,pagamento em dia,radio/televisão,3416,ate 1000,1-4 anos,bom
143,negativo,18,pagamento em dia,móveis,2462,ate 1000,1-4 anos,mau
144,sem conta,21,já atrasou pagamentos,móveis,2288,ate 1000,1-4 anos,bom
145,positivo,48,pagamento em dia,negócios,3566,nao,4-7 anos,bom
146,negativo,6,já atrasou pagamentos,carro novo,860,ate 1000,> 7 anos,bom
147,sem conta,12,já atrasou pagamentos,carro novo,682,nao,4-7 anos,bom
148,negativo,36,já atrasou pagamentos,móveis,5371,ate 1000,1-4 anos,bom
149,sem conta,18,já atrasou pagamentos,radio/televisão,1582,>1000,> 7 anos,bom
150,sem conta,6,pagamento em dia,radio/televisão,1346,nao,> 7 anos,bom
151,sem conta,10,pagamento em dia,radio/televisão,1924,ate 1000,1-4 anos,bom
152,positivo,36,pagamento em dia,radio/televisão,5848,ate 1000,1-4 anos,bom
153,positivo,24,já atrasou pagamentos,carro usado,7758,>1000,> 7 anos,bom
154,positivo,24,já atrasou pagamentos,negócios,6967,nao,4-7 anos,bom
155,negativo,12,pagamento em dia,móveis,1282,ate 1000,1-4 anos,mau
156,negativo,9,já atrasou pagamentos,reparos,1288,nao,> 7 anos,bom
157,negativo,12,pagamento em dia,retreinamentos,339,ate 1000,> 7 anos,bom
158,positivo,24,pagamento em dia,carro novo,3512,nao,4-7 anos,bom
159,sem conta,6,já atrasou pagamentos,radio/televisão,1898,nao,1-4 anos,bom
160,sem conta,24,já atrasou pagamentos,radio/televisão,2872,nao,> 7 anos,bom
161,sem conta,18,já atrasou pagamentos,carro novo,1055,ate 1000,1-4 anos,bom
162,sem conta,15,pagamento em dia,itens de casa,1262,ate 1000,4-7 anos,bom
163,positivo,10,pagamento em dia,carro novo,7308,ate 1000,desempregado,bom
164,sem conta,36,pagamento em dia,carro novo,909,ate 1000,> 7 anos,bom
165,sem conta,6,pagamento em dia,móveis,2978,ate 1000,1-4 anos,bom
166,negativo,18,pagamento em dia,móveis,1131,ate 1000,desempregado,mau
167,positivo,11,pagamento em dia,móveis,1577,>1000,1-4 anos,bom
168,sem conta,24,pagamento em dia,móveis,3972,ate 1000,4-7 anos,bom
169,positivo,24,já atrasou pagamentos,negócios,1935,ate 1000,> 7 anos,mau
170,negativo,15,pagamento em dia,carro novo,950,ate 1000,> 7 anos,mau
171,sem conta,12,pagamento em dia,móveis,763,ate 1000,1-4 anos,bom
172,positivo,24,já atrasou pagamentos,móveis,2064,ate 1000,desempregado,mau
173,positivo,8,pagamento em dia,radio/televisão,1414,ate 1000,1-4 anos,bom
174,negativo,21,já atrasou pagamentos,educação,3414,ate 1000,1-4 anos,mau
175,sem conta,30,pagamento em dia,carro usado,7485,nao,desempregado,mau
176,negativo,12,pagamento em dia,móveis,2577,ate 1000,1-4 anos,bom
177,negativo,6,já atrasou pagamentos,radio/televisão,338,ate 1000,> 7 anos,bom
178,sem conta,12,pagamento em dia,radio/televisão,1963,ate 1000,4-7 anos,bom
179,negativo,21,já atrasou pagamentos,carro novo,571,ate 1000,> 7 anos,bom
180,sem conta,36,já atrasou pagamentos,negócios,9572,ate 1000,1-4 anos,mau
181,positivo,36,já atrasou pagamentos,negócios,4455,ate 1000,1-4 anos,mau
182,negativo,21,pagamento em dia,carro novo,1647,nao,1-4 anos,mau
183,sem conta,24,já atrasou pagamentos,móveis,3777,>1000,1-4 anos,bom
184,positivo,18,já atrasou pagamentos,carro novo,884,ate 1000,> 7 anos,mau
185,sem conta,15,já atrasou pagamentos,radio/televisão,1360,ate 1000,1-4 anos,bom
186,positivo,9,pagamento em dia,carro usado,5129,ate 1000,> 7 anos,mau
187,positivo,16,já atrasou pagamentos,carro novo,1175,ate 1000,desempregado,bom
188,negativo,12,pagamento em dia,radio/televisão,674,nao,4-7 anos,mau
189,positivo,18,pagamento em dia,móveis,3244,ate 1000,1-4 anos,bom
190,sem conta,24,pagamento em dia,negócios,4591,>1000,1-4 anos,mau
191,positivo,48,pagamento em dia,negócios,3844,nao,4-7 anos,mau
192,positivo,27,pagamento em dia,negócios,3915,ate 1000,1-4 anos,mau
193,sem conta,6,pagamento em dia,radio/televisão,2108,ate 1000,4-7 anos,bom
194,positivo,45,pagamento em dia,radio/televisão,3031,nao,1-4 anos,mau
195,positivo,9,já atrasou pagamentos,educação,1501,ate 1000,> 7 anos,mau
196,sem conta,6,já atrasou pagamentos,radio/televisão,1382,ate 1000,1-4 anos,bom
197,positivo,12,pagamento em dia,móveis,951,nao,1-4 anos,mau
198,positivo,24,pagamento em dia,carro usado,2760,nao,> 7 anos,bom
199,positivo,18,já atrasou pagamentos,móveis,4297,ate 1000,> 7 anos,mau
200,sem conta,9,já atrasou pagamentos,educação,936,ate 1000,> 7 anos,bom
201,negativo,12,pagamento em dia,carro novo,1168,ate 1000,1-4 anos,bom
202,sem conta,27,já atrasou pagamentos,negócios,5117,ate 1000,4-7 anos,bom
203,negativo,12,pagamento em dia,retreinamentos,902,ate 1000,4-7 anos,mau
204,sem conta,12,já atrasou pagamentos,carro novo,1495,ate 1000,> 7 anos,bom
205,negativo,30,já atrasou pagamentos,carro usado,10623,ate 1000,> 7 anos,bom
206,sem conta,12,já atrasou pagamentos,móveis,1935,ate 1000,> 7 anos,bom
207,positivo,12,já atrasou pagamentos,itens de casa,1424,ate 1000,4-7 anos,bom
208,negativo,24,pagamento em dia,negócios,6568,ate 1000,1-4 anos,bom
209,sem conta,12,pagamento em dia,carro usado,1413,>1000,4-7 anos,bom
210,sem conta,9,já atrasou pagamentos,radio/televisão,3074,nao,1-4 anos,bom
211,sem conta,36,pagamento em dia,radio/televisão,3835,nao,> 7 anos,bom
212,negativo,27,pagamento em dia,negócios,5293,ate 1000,desempregado,mau
213,positivo,30,já atrasou pagamentos,negócios,1908,ate 1000,> 7 anos,mau
214,sem conta,36,já atrasou pagamentos,radio/televisão,3342,nao,> 7 anos,bom
215,positivo,6,já atrasou pagamentos,retreinamentos,932,nao,4-7 anos,bom
216,negativo,18,pagamento em dia,negócios,3104,ate 1000,4-7 anos,bom
217,positivo,36,pagamento em dia,radio/televisão,3913,ate 1000,1-4 anos,bom
218,negativo,24,pagamento em dia,móveis,3021,ate 1000,1-4 anos,bom
219,sem conta,10,pagamento em dia,carro novo,1364,ate 1000,1-4 anos,bom
220,positivo,12,pagamento em dia,radio/televisão,625,ate 1000,1-4 anos,bom
221,negativo,12,pagamento em dia,educação,1200,nao,1-4 anos,bom
222,sem conta,12,pagamento em dia,radio/televisão,707,ate 1000,1-4 anos,bom
223,sem conta,24,já atrasou pagamentos,negócios,2978,nao,1-4 anos,bom
224,sem conta,15,pagamento em dia,carro usado,4657,ate 1000,1-4 anos,bom
225,sem conta,36,pagamento em dia,reparos,2613,ate 1000,1-4 anos,bom
226,positivo,48,pagamento em dia,radio/televisão,10961,>1000,4-7 anos,mau
227,negativo,12,pagamento em dia,móveis,7865,ate 1000,> 7 anos,mau
228,sem conta,9,pagamento em dia,radio/televisão,1478,ate 1000,4-7 anos,mau
229,negativo,24,pagamento em dia,móveis,3149,ate 1000,1-4 anos,bom
230,positivo,36,pagamento em dia,radio/televisão,4210,ate 1000,1-4 anos,mau
231,sem conta,9,pagamento em dia,carro novo,2507,ate 1000,> 7 anos,bom
232,sem conta,12,pagamento em dia,radio/televisão,2141,nao,4-7 anos,bom
233,positivo,18,pagamento em dia,radio/televisão,866,ate 1000,1-4 anos,bom
234,sem conta,4,já atrasou pagamentos,radio/televisão,1544,ate 1000,4-7 anos,bom
235,negativo,24,pagamento em dia,radio/televisão,1823,ate 1000,desempregado,mau
236,positivo,6,pagamento em dia,carro novo,14555,nao,desempregado,mau
237,positivo,21,pagamento em dia,negócios,2767,nao,> 7 anos,mau
238,sem conta,12,já atrasou pagamentos,radio/televisão,1291,ate 1000,1-4 anos,bom
239,negativo,30,pagamento em dia,radio/televisão,2522,ate 1000,> 7 anos,bom
240,negativo,24,pagamento em dia,carro novo,915,nao,> 7 anos,mau
241,sem conta,6,pagamento em dia,radio/televisão,1595,ate 1000,4-7 anos,bom
242,negativo,48,pagamento em dia,carro usado,4605,ate 1000,> 7 anos,mau
243,sem conta,12,já atrasou pagamentos,negócios,1185,ate 1000,1-4 anos,bom
244,sem conta,12,pagamento em dia,retreinamentos,3447,ate 1000,1-4 anos,bom
245,sem conta,24,pagamento em dia,negócios,1258,ate 1000,4-7 anos,bom
246,sem conta,12,já atrasou pagamentos,radio/televisão,717,ate 1000,> 7 anos,bom
247,sem conta,6,pagamento em dia,carro novo,1204,nao,1-4 anos,bom
248,positivo,24,pagamento em dia,móveis,1925,ate 1000,1-4 anos,bom
249,sem conta,18,pagamento em dia,radio/televisão,433,ate 1000,desempregado,mau
250,negativo,6,já atrasou pagamentos,carro novo,666,>1000,4-7 anos,bom
251,positivo,12,pagamento em dia,móveis,2251,ate 1000,1-4 anos,bom
252,positivo,30,pagamento em dia,carro novo,2150,ate 1000,1-4 anos,mau
253,sem conta,24,já atrasou pagamentos,móveis,4151,nao,1-4 anos,bom
254,positivo,9,pagamento em dia,móveis,2030,nao,4-7 anos,bom
255,positivo,60,já atrasou pagamentos,radio/televisão,7418,nao,1-4 anos,bom
256,sem conta,24,já atrasou pagamentos,radio/televisão,2684,ate 1000,1-4 anos,bom
257,negativo,12,pagamento em dia,radio/televisão,2149,ate 1000,1-4 anos,mau
258,sem conta,15,pagamento em dia,carro usado,3812,nao,1-4 anos,bom
259,sem conta,11,já atrasou pagamentos,radio/televisão,1154,nao,desempregado,bom
260,negativo,12,pagamento em dia,móveis,1657,ate 1000,1-4 anos,bom
261,negativo,24,pagamento em dia,radio/televisão,1603,ate 1000,> 7 anos,bom
262,negativo,18,já atrasou pagamentos,carro novo,5302,ate 1000,> 7 anos,bom
263,sem conta,12,já atrasou pagamentos,educação,2748,ate 1000,> 7 anos,bom
264,sem conta,10,já atrasou pagamentos,carro novo,1231,ate 1000,> 7 anos,bom
265,positivo,15,pagamento em dia,radio/televisão,802,ate 1000,> 7 anos,mau
266,sem conta,36,já atrasou pagamentos,negócios,6304,nao,> 7 anos,bom
267,sem conta,24,pagamento em dia,radio/televisão,1533,ate 1000,1-4 anos,bom
268,negativo,14,pagamento em dia,carro novo,8978,ate 1000,> 7 anos,mau
269,sem conta,24,pagamento em dia,radio/televisão,999,nao,> 7 anos,bom
270,sem conta,18,pagamento em dia,carro novo,2662,nao,4-7 anos,bom
271,sem conta,12,já atrasou pagamentos,móveis,1402,ate 1000,4-7 anos,bom
272,positivo,48,pagamento em dia,carro novo,12169,nao,desempregado,bom
273,positivo,48,pagamento em dia,radio/televisão,3060,ate 1000,4-7 anos,mau
274,negativo,30,pagamento em dia,reparos,11998,ate 1000,1-4 anos,mau
275,sem conta,9,pagamento em dia,radio/televisão,2697,ate 1000,1-4 anos,bom
276,sem conta,18,já atrasou pagamentos,radio/televisão,2404,ate 1000,1-4 anos,bom
277,negativo,12,pagamento em dia,móveis,1262,nao,> 7 anos,bom
278,sem conta,6,pagamento em dia,móveis,4611,ate 1000,1-4 anos,mau
279,sem conta,24,pagamento em dia,radio/televisão,1901,nao,1-4 anos,bom
280,sem conta,15,já atrasou pagamentos,carro usado,3368,>1000,> 7 anos,bom
281,sem conta,12,pagamento em dia,móveis,1574,ate 1000,1-4 anos,bom
282,positivo,18,pagamento em dia,radio/televisão,1445,nao,4-7 anos,bom
283,sem conta,15,já atrasou pagamentos,móveis,1520,nao,> 7 anos,bom
284,positivo,24,já atrasou pagamentos,carro novo,3878,nao,1-4 anos,bom
285,negativo,47,pagamento em dia,carro novo,10722,ate 1000,1-4 anos,bom
286,negativo,48,pagamento em dia,carro usado,4788,ate 1000,4-7 anos,bom
287,positivo,48,já atrasou pagamentos,outros,7582,nao,desempregado,bom
288,positivo,12,pagamento em dia,radio/televisão,1092,ate 1000,1-4 anos,bom
289,negativo,24,já atrasou pagamentos,radio/televisão,1024,ate 1000,1-4 anos,mau
290,sem conta,12,pagamento em dia,negócios,1076,ate 1000,1-4 anos,bom
291,positivo,36,pagamento em dia,carro usado,9398,ate 1000,1-4 anos,mau
292,negativo,24,já atrasou pagamentos,carro usado,6419,ate 1000,> 7 anos,bom
293,positivo,42,já atrasou pagamentos,carro usado,4796,ate 1000,> 7 anos,bom
294,sem conta,48,já atrasou pagamentos,negócios,7629,nao,> 7 anos,bom
295,positivo,48,pagamento em dia,móveis,9960,ate 1000,1-4 anos,mau
296,sem conta,12,pagamento em dia,carro usado,4675,nao,1-4 anos,bom
297,sem conta,10,pagamento em dia,carro novo,1287,nao,> 7 anos,bom
298,sem conta,18,pagamento em dia,móveis,2515,ate 1000,1-4 anos,bom
299,positivo,21,já atrasou pagamentos,móveis,2745,>1000,4-7 anos,bom
300,sem conta,6,pagamento em dia,carro novo,672,ate 1000,desempregado,bom
301,positivo,36,pagamento em dia,radio/televisão,3804,ate 1000,1-4 anos,mau
302,positivo,24,já atrasou pagamentos,carro novo,1344,nao,4-7 anos,mau
303,negativo,10,já atrasou pagamentos,carro novo,1038,ate 1000,4-7 anos,bom
304,sem conta,48,já atrasou pagamentos,carro novo,10127,ate 1000,1-4 anos,mau
305,sem conta,6,pagamento em dia,móveis,1543,>1000,1-4 anos,bom
306,sem conta,30,pagamento em dia,carro usado,4811,nao,4-7 anos,bom
307,negativo,12,pagamento em dia,radio/televisão,727,nao,1-4 anos,mau
308,positivo,8,pagamento em dia,móveis,1237,ate 1000,1-4 anos,mau
309,positivo,9,pagamento em dia,carro novo,276,ate 1000,1-4 anos,bom
310,positivo,48,pagamento em dia,outros,5381,nao,desempregado,bom
311,sem conta,24,pagamento em dia,móveis,5511,nao,1-4 anos,bom
312,positivo,24,pagamento em dia,móveis,3749,ate 1000,1-4 anos,bom
313,positivo,12,pagamento em dia,carro novo,685,ate 1000,4-7 anos,mau
314,positivo,4,pagamento em dia,carro novo,1494,nao,1-4 anos,bom
315,negativo,36,pagamento em dia,móveis,2746,ate 1000,> 7 anos,mau
316,negativo,12,pagamento em dia,móveis,708,ate 1000,1-4 anos,bom
317,positivo,24,pagamento em dia,móveis,4351,nao,1-4 anos,bom
318,sem conta,12,já atrasou pagamentos,educação,701,ate 1000,1-4 anos,bom
319,negativo,15,já atrasou pagamentos,móveis,3643,ate 1000,> 7 anos,bom
320,positivo,30,já atrasou pagamentos,carro novo,4249,ate 1000,desempregado,mau
321,negativo,24,pagamento em dia,radio/televisão,1938,ate 1000,1-4 anos,mau
322,negativo,24,pagamento em dia,carro usado,2910,ate 1000,4-7 anos,bom
323,negativo,18,pagamento em dia,móveis,2659,>1000,1-4 anos,bom
324,sem conta,18,já atrasou pagamentos,carro novo,1028,ate 1000,1-4 anos,bom
325,negativo,8,já atrasou pagamentos,carro novo,3398,ate 1000,4-7 anos,bom
326,sem conta,12,já atrasou pagamentos,móveis,5801,nao,> 7 anos,bom
327,sem conta,24,pagamento em dia,carro novo,1525,>1000,4-7 anos,bom
328,positivo,36,pagamento em dia,radio/televisão,4473,ate 1000,> 7 anos,bom
329,positivo,6,pagamento em dia,radio/televisão,1068,ate 1000,> 7 anos,bom
330,negativo,24,já atrasou pagamentos,carro usado,6615,ate 1000,desempregado,bom
331,sem conta,18,já atrasou pagamentos,educação,1864,nao,1-4 anos,mau
332,positivo,60,pagamento em dia,carro novo,7408,nao,1-4 anos,mau
333,sem conta,48,já atrasou pagamentos,carro usado,11590,nao,1-4 anos,mau
334,negativo,24,pagamento em dia,móveis,4110,ate 1000,> 7 anos,mau
335,negativo,6,já atrasou pagamentos,móveis,3384,ate 1000,1-4 anos,mau
336,positivo,13,pagamento em dia,radio/televisão,2101,ate 1000,1-4 anos,bom
337,negativo,15,pagamento em dia,itens de casa,1275,nao,1-4 anos,mau
338,negativo,24,pagamento em dia,móveis,4169,ate 1000,1-4 anos,bom
339,positivo,10,pagamento em dia,móveis,1521,ate 1000,1-4 anos,bom
340,positivo,24,já atrasou pagamentos,educação,5743,ate 1000,1-4 anos,bom
341,negativo,21,pagamento em dia,móveis,3599,ate 1000,4-7 anos,bom
342,positivo,18,pagamento em dia,radio/televisão,3213,ate 1000,1-4 anos,bom
343,positivo,18,pagamento em dia,negócios,4439,ate 1000,> 7 anos,bom
